팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
LG,0,0,0,0,0,0,0,1,0,,,,1,5,0
한화,0,0,0,0,0,0,0,1,1,,,,2,6,1
롯데,0,0,4,0,0,0,2,0,0,0,0,6,12,0,
SK,1,0,0,0,1,0,4,0,0,0,1,7,14,0,
키움,4,0,0,0,0,2,0,0,0,,,,6,12,1
NC,1,0,0,0,0,1,0,3,0,,,,5,6,1
한화,0,0,1,1,0,0,0,0,0,,,,2,11,2
롯데,0,0,2,2,0,0,0,1,-,,,,5,12,0
LG,1,1,0,0,0,1,2,2,6,,,,13,16,1
kt,0,0,0,0,0,0,0,0,0,,,,0,2,1
NC,1,3,1,0,0,2,0,0,0,,,,7,10,0
두산,0,0,0,0,0,0,0,3,0,,,,3,8,0
삼성,0,0,0,0,0,0,0,0,0,,,,0,8,1
SK,0,1,0,0,2,0,0,0,-,,,,3,9,0
키움,0,0,1,0,0,0,0,3,0,,,,4,11,2
KIA,0,3,0,0,1,0,0,2,-,,,,6,11,0
한화,0,0,2,0,4,0,1,0,0,,,,7,11,1
롯데,0,0,1,5,0,0,3,0,-,,,,9,8,0
LG,0,0,0,0,0,0,0,1,0,,,,1,7,0
kt,2,0,0,0,0,0,0,0,-,,,,2,4,0
NC,1,2,0,0,0,0,0,3,0,,,,6,9,0
두산,0,0,4,0,0,0,0,1,0,,,,5,11,1
삼성,0,0,0,1,0,0,0,0,0,,,,1,3,0
SK,0,0,0,0,0,0,0,1,1,,,,2,8,1
키움,3,0,0,0,9,2,0,0,0,,,,14,14,0
KIA,0,0,3,0,0,0,1,0,0,,,,4,8,1
한화,0,0,16,0,0,0,0,,,,,,16,19,0
롯데,0,1,0,0,0,0,-,,,,,,1,5,1
LG,2,0,1,0,0,0,0,0,0,,,,3,5,1
kt,0,0,2,0,2,0,0,0,-,,,,4,8,0
NC,3,0,0,0,0,0,1,0,1,,,,5,12,0
두산,0,0,0,0,1,1,0,1,0,,,,3,8,1
삼성,0,1,0,1,0,0,0,0,0,,,,2,9,1
